date,hour,ping,download,upload,WLAN,Cell,latitude,longitude,room,floor,name
04/28/22,13:18:00,23,54.077,106.161,--:--,--:--,43.7095205563175,5.50637505391722,NA,Rdc,Louis
04/29/22,11:24:00,23,108.775,110.416,--:--,--:--,43.7096301243224,5.50647657406682,B16,RdC,Louis
04/29/22,11:28:00,23,43.177,94.847,--:--,--:--,43.7101059242035,5.50656768541882,bat B 2,Nv1,Louis
04/29/22,11:30:00,22,74.593,56.116,--:--,--:--,43.7099931399101,5.50651131107162,bat B2,Nv1,Louis
04/29/22,11:31:00,22,81.98,54.142,--:--,--:--,43.7098957770526,5.50644697666934,bat B2,Nv1,Louis
04/29/22,11:34:00,24,0.017,0.489,--:--,--:--,43.7097753567042,5.50637386174643,bat B2,Nv1,Louis
04/29/22,11:36:00,23,60.08,36.534,--:--,--:--,43.7096428413315,5.506388355555,bat B2,Nv1,Louis
04/29/22,11:37:00,23,39.302,50.518,--:--,--:--,43.7096526852725,5.50632369826246,hallbat B2,Nv1,Louis
04/29/22,11:39:00,23,57.823,51.806,--:--,--:--,43.7098390253493,5.5064762120883,bat B1,RdC,Louis
04/29/22,11:41:00,23,81.833,52.075,--:--,--:--,43.709930829675,5.50640893204229,escbat B,RdC,Louis
04/29/22,11:45:00,23,79.508,98.672,--:--,--:--,43.7095205563175,5.50637505391722,salle B16,RdC,Louis
04/29/22,11:47:00,22,95.311,101.184,--:--,--:--,43.7096800166418,5.50640033112958,labo Droite B1,RdC,Louis
04/29/22,11:48:00,23,115.035,105.994,--:--,--:--,43.7097175537018,5.50637291231212,labo Droite B1,RdC,Louis
04/29/22,11:49:00,22,95.261,115.329,--:--,--:--,43.7097440781414,5.50641708706775,labo Centre B1,RdC,Louis
04/29/22,11:51:00,23,38.75,76.796,--:--,--:--,43.7097440179951,5.50643789415616,couloir labo B1,RdC,Louis
04/29/22,11:52:00,22,65.39,51.622,--:--,--:--,43.7098379726311,5.50642469564539,labo gauche B1,RdC,Louis
04/29/22,11:53:00,22,74.876,116.761,--:--,--:--,43.7098031218403,5.50645678437655,labo gauche B1,RdC,Louis
04/29/22,12:02:00,23,52.308,54.154,--:--,--:--,43.7097391759604,5.50651769762825,salle B15,RdC,Louis
04/29/22,12:03:00,22,93.143,53.714,--:--,--:--,43.7097914402494,5.50650179946771,salle B15,RdC,Louis
04/29/22,12:09:00,23,4.674,9.921,--:--,--:--,43.7094923284584,5.50666252854541,salle C22,Nv1,Louis
04/29/22,12:33:00,23,46.229,55.656,--:--,--:--,43.7094360701235,5.50645842113903,hall Fixe,RdC,Louis
04/29/22,12:50:00,22,42.352,50.951,--:--,--:--,43.7094467041334,5.50645121734343,hall Fixe,RdC,Louis
04/29/22,13:09:00,22,73.443,76.619,--:--,--:--,43.7095011436423,5.50659176505218,salle C23,Nv1,Louis
04/29/22,13:12:00,114,90.824,89.802,--:--,--:--,43.7094933415737,5.5064962371288,salle C23,Nv1,Louis
04/29/22,13:13:00,24,2.711,0.633,--:--,--:--,43.7094059793139,5.50650630772984,salle C23,Nv1,Louis
04/29/22,13:15:00,24,1.615,1.663,--:--,--:--,43.7094059793139,5.50650630772984,salle C23,Nv1,Louis
04/29/22,13:17:00,24,3.479,5.258,--:--,--:--,43.7094708517879,5.50651573196498,salle C23,Nv1,Louis
04/29/22,13:19:00,23,3.701,6.634,--:--,--:--,43.7094728100307,5.50647369769061,salle C23,Nv1,Louis
04/29/22,13:20:00,24,3.102,8.24,--:--,--:--,43.7094358368215,5.50648178560502,salle C23,Nv1,Louis
04/29/22,13:32:00,23,7.008,17.691,--:--,--:--,43.709529788641,5.50722861819429,zone 3,RdC,Louis
04/29/22,13:47:00,22,8.213,8.343,--:--,--:--,43.7090575390574,5.50672686329062,zone 1,RdC,Louis
04/29/22,13:49:00,23,1.228,9.002,--:--,--:--,43.7091566457429,5.50661781386887,zone 1,RdC,Louis
04/29/22,13:51:00,25,2.211,7.274,--:--,--:--,43.7091923579337,5.50664710742328,zone 1,RdC,Louis
04/29/22,13:55:00,24,7.485,15.754,--:--,--:--,43.7091920267964,5.50645144414929,zone 1,RdC,Louis
05/02/22,10:32:00,28,46.874,52.055,--:--,--:--,43.7095679566456,5.50632310839043,hall 2 test All,Nv1,Louis
05/02/22,10:33:00,23,27.554,35.105,--:--,--:--,43.7095679566456,5.50632310839043,hall 2 test All,Nv1,Louis
05/02/22,10:34:00,23,33.175,35.144,--:--,--:--,43.7095679566456,5.50632310839043,hall 2 test All,Nv1,Louis
05/02/22,11:02:00,23,91.14,53.789,--:--,--:--,43.7096313367077,5.50597158997036,CDI,RdC,Louis
05/02/22,14:13:00,22,51.307,54.787,--:--,--:--,43.7099729630609,5.50614659252574,salle A25,Nv1,Louis
05/02/22,15:01:00,22,99.199,57.136,--:--,--:--,43.7094372481725,5.50659973813669,salle C13,RdC,Louis
05/02/22,15:02:00,24,2.08,6.084,--:--,--:--,43.7094897231103,5.50672807663207,C13,RdC,Louis
05/02/22,15:02:00,24,3.798,9.545,--:--,--:--,43.7094938045295,5.50665660545835,C13,RdC,Louis
05/02/22,15:03:00,22,106.753,55.671,--:--,--:--,43.7093976467566,5.50649968823902,C13,RdC,Louis
05/02/22,15:04:00,22,88.971,46.378,--:--,--:--,43.7094468761834,5.50655076448777,C13,RdC,Louis
05/03/22,10:43:00,22,95.737,78.699,--:--,--:--,43.7095563797258,5.50599521796545,couloir CDI,RdC,Louis
